,energy,jerk,torque_change,vfe,kld,bs,un,ig,vfe_category,description
vfe_min,37.73385097507627,121.99357965811714,3746.4513432617264,205.93527507781985,35.97807821631432,22.14182808250189,156.00105822086334,58.11990629881621,vfe_min,Minimum VFE (Most Stable)
vfe_mid,757.7585901964313,5107.315172092244,387457.6148139314,445.3164448738098,77.15327566862106,67.4910779595375,179.0908818244934,144.64435362815857,vfe_mid,Median VFE (Intermediate)
vfe_max,7516.781082955654,40522.19953890823,160262684.69071278,738.7920916080475,65.90357019007206,76.89698749780655,209.38900578022003,142.8005576878786,vfe_max,Maximum VFE (Least Stable)
