energy,jerk,torque_changes,vfe,kld,bs,un,ig,vfe_squared
14.044314972733622,1087.9921796662845,4966.271757899353,298.8014373779297,54.511168256402016,46.571719750761986,167.23778069019318,101.082888007164,89282.29897911684
14.100239514783269,1164.874436244263,5911.9522503849585,299.02667784690857,55.1451003998518,46.799372509121895,167.10634899139404,101.9444729089737,89416.95406415884
13.364008282808065,981.6391026792876,3396.819083943416,297.5593430995941,54.61640138924122,46.56751249730587,166.97812640666962,101.18391388654709,88541.56266586197
14.568304599448545,1232.9905611168995,7114.567387351873,299.1254165172577,55.08049887418747,46.92910000681877,167.18328440189362,102.00959888100624,89476.0148066229
13.926328548622326,1150.9480036764712,4623.931596712993,300.49573612213135,54.827415838837624,46.68979002535343,167.2922307252884,101.51720586419106,90297.6874275816
15.809831808733392,1315.498737269387,8068.241927987647,298.4904668331146,56.02896545827389,48.16482575237751,166.79796731472015,104.1937912106514,89096.5587902507
11.855382629523302,1055.8272849036036,3325.7551909585113,297.4321848154068,54.31562256813049,47.31915095448494,166.96302723884583,101.63477352261543,88465.90456406631
14.770401670589518,1062.2350281131517,5250.484005561809,296.8730344772339,55.03997752070427,46.55897931754589,166.82859683036804,101.59895683825016,88133.5985997209
12.785355758375141,468.0429452935923,2366.8895484209943,295.85961151123047,53.94389356672764,47.10521450638771,166.5472764968872,101.04910807311535,87532.90972357622
15.137846937372656,1131.6249421902912,4888.593195525594,299.87564969062805,54.301535844802856,46.329651683568954,167.15723598003387,100.63118752837181,89925.40527737627
13.842364987152528,934.5830401633813,4753.44062979429,298.7505694627762,54.962648525834084,46.533911764621735,166.96448528766632,101.49656029045582,89251.90275433306
19.079371431285832,1922.59222106488,12987.491416706032,308.2476968765259,59.47835908830166,49.24286711215973,167.67960810661316,108.72122620046139,95016.64262968258
19.470375490802898,1442.780399752718,10685.873233789267,308.11353397369385,59.10803771018982,49.9709879308939,167.62327826023102,109.07902564108372,94933.94981775859
12.713579443640638,1418.6101194791268,5228.853549758642,289.40426790714264,59.895401015877724,47.18448705971241,164.2925568819046,107.07988807559013,83754.8302828692
19.275441162060588,880.1910734722735,7144.15112106613,304.75626170635223,51.81896959245205,47.02555698156357,168.62992823123932,98.84452657401562,92876.37904923066
14.87689746477599,1392.230595410911,6131.307471465073,298.6473673582077,56.86588215827942,46.89731252193451,166.27034282684326,103.76319468021393,89190.25002998827
17.912728422341004,692.8214034059065,5103.775560231845,302.9440199136734,56.132246255874634,48.66505981981754,167.17500936985016,104.79730607569218,91775.07920145614
19.304661038773208,2120.7453931759574,11709.548084639533,299.0404187440872,59.42925161123276,49.4365548491478,165.9354454278946,108.86580646038055,89425.17204263902
14.368712366894584,1550.369022868126,5370.705422665098,292.4716958999634,61.75697408616543,49.44153790175915,164.4886074066162,111.19851198792458,85539.69290260065
12.841939690052362,623.7741813247757,2730.965157502259,292.0117268562317,55.73078674077988,44.77675123512745,165.95158684253693,100.50753797590733,85270.84862155847
15.648111317854898,1130.3046510057889,5593.151968340799,300.0912903547287,57.64246445894241,48.76635630428791,166.89641201496124,106.40882076323032,90054.78254676609
22.977991249614508,1529.6117828717252,8443.18226486406,311.2475175857544,62.991044387221336,50.15983226895332,166.6685516834259,113.15087665617466,96875.0172032945
15.212893360012167,2382.2139056657898,14415.039950974753,301.23345363140106,61.52830857038498,49.605866461992264,165.9654803276062,111.13417503237724,90741.59358670145
16.097935470428776,799.087252012655,4381.40376445508,291.4762213230133,57.535964623093605,46.2373973429203,165.03971195220947,103.77336196601391,84958.38759674224
18.902909193971933,1373.1138153199709,7753.038902291798,316.31618535518646,61.27630829811096,51.47608882188797,167.72483432292938,112.75239711999893,100055.92911765668
