energy,jerk,torque_change,vfe,kld,bs,un,ig
14.99509058958766,152.615243126722,479.88775565627117,201.70152962207794,32.919406443834305,20.205409437417984,155.92908549308777,53.12481588125229
16.432962670663404,158.68888420882473,536.2144331134044,201.18278396129608,32.53183227777481,19.980000481009483,155.92304491996765,52.511832758784294
18.806019839779065,131.79121979726943,446.15095476517746,197.63898706436157,29.87092050909996,18.35597214102745,155.85535955429077,48.22689265012741
13.767398527693098,213.31486184598677,595.3483339334919,200.22292459011078,31.791791796684265,19.54383585602045,155.90605866909027,51.335627652704716
14.694023574720172,137.97476840083328,428.51892644897697,198.86816585063934,30.886193126440048,18.920890018343925,155.88351273536682,49.807083144783974
13.718419044534347,244.31373139521492,817.9425641384121,205.4568314552307,35.6904698908329,21.912233248353004,155.99470484256744,57.602703139185905
22.385709868946254,223.9071604214924,396.6574638940134,205.00887942314148,35.29535049200058,21.70830476284027,155.98113799095154,57.00365525484085
13.020433233068129,257.82107506423506,701.1813911238785,201.42601227760315,32.765713915228844,20.089980900287628,155.93084812164307,52.85569481551647
19.499573870454004,124.49164837835067,546.6466450320985,212.46177279949188,40.630518302321434,25.090013176202774,156.15077018737793,65.72053147852421
12.766235852486497,220.86340736286232,650.8471038959054,199.8266086578369,31.61657875776291,19.35207885503769,155.9029997587204,50.9686576128006
14.401474303440764,208.86597100952432,647.0587894860248,199.89446985721588,31.66138556599617,19.397100910544395,155.9057558774948,51.058486476540565
13.899404845478422,243.69624171925346,1067.8825834996019,207.331538438797,36.911767452955246,22.752185501158237,156.07292330265045,59.66395295411348
14.172929192059797,140.45083626968923,1006.0203674469152,208.35702526569366,37.18359296023846,23.17367782443762,156.10913157463074,60.357270784676075
22.632019290369193,78.33301065092881,307.9901603898214,205.7923707962036,35.72653594613075,22.044697768986225,156.01693630218506,57.77123371511698
9.714632089599949,335.88519515944085,1346.3571134380745,209.77372860908508,38.91330920159817,23.887778885662556,156.0732457637787,62.80108808726072
15.062556389638653,173.29278852025823,466.1676231624637,198.84124100208282,30.529957935214043,18.878628589212894,155.90328931808472,49.40858652442694
9.544185594438604,191.47353398006845,886.3007621198536,210.4859207868576,39.36801555752754,24.199655272066593,156.0892140865326,63.567670829594135
15.999206699572314,329.9256844930767,1133.7236746637757,211.94978046417236,40.36691579222679,24.840563260018826,156.1578801870346,65.20747905224562
19.52002886104131,58.34918906085766,491.59949236673845,207.23549818992615,36.48962242901325,22.677127681672573,156.06695449352264,59.166750110685825
17.787102095373882,101.86654279756506,422.68960703738964,210.23433697223663,39.25016941130161,24.088093258440495,156.07882642745972,63.33826266974211
19.17211672677728,216.10228743576332,771.6464092032062,213.00676023960114,39.72111043334007,25.204294688999653,156.30456233024597,64.92540512233973
16.998171919439322,161.83813375099956,960.2786243690035,206.48310458660126,36.58552911877632,22.376178227365017,156.0225201845169,58.96170734614134
24.34924470858252,255.3069230572047,725.4976922816593,205.4883085489273,35.565618231892586,21.92948481440544,155.98510801792145,57.49510304629803
14.527978713366492,194.73550178818763,772.6441754148436,202.07011806964874,33.00006365776062,20.361678391695023,155.95964121818542,53.36174204945564
22.06998203599625,205.05262204864408,1566.1130833881105,213.39975953102112,41.1936941742897,25.505115941166878,156.20556211471558,66.69881011545658
11.172901898028746,204.39413839630276,1206.7181536590847,218.86261796951294,43.14510376751423,27.71432226896286,156.61328077316284,70.85942603647709
17.993803920309475,313.9528513728703,1645.3461614924252,203.52091324329376,34.229890778660774,21.04714196920395,155.96187710762024,55.27703274786472
12.260456518024581,258.0084770471577,1190.3760313856235,220.8828582763672,45.55396342277527,28.82629642635584,156.41638696193695,74.38025984913111
16.306287502746187,150.08742508777337,1046.0377038672054,227.30208587646484,46.96695487201214,31.329552367329597,156.93603014945984,78.29650723934174
29.022832499576918,221.51399459010034,1393.531925056265,221.25564968585968,46.44506558775902,29.000014938414097,156.38230752944946,75.44508052617311
29.140264513334536,292.0265743476313,2846.332241260534,222.6253343820572,45.82566790282726,29.452892161905766,156.62182927131653,75.27856006473303
11.077811624172703,149.52755175647965,805.4476939551903,221.57206416130066,44.98407055437565,28.996812283992767,156.6173940896988,73.98088283836842
25.346154375078726,45.39142782044567,542.5142518610273,219.12816262245178,44.32214792072773,28.00414688140154,156.40941739082336,72.32629480212927
17.86941609959714,258.7783345842897,1146.1608823032802,219.95163357257843,43.42221327126026,28.12084424495697,156.70145225524902,71.54305751621723
16.71633968880323,122.3113671886086,1030.2896578468722,225.17752742767334,49.30338844656944,30.826257273554802,156.43791723251343,80.12964572012424
33.43867398060206,69.28025571008138,730.3166629375264,229.44285023212433,50.08437979221344,32.514747112989426,156.8283327817917,82.59912690520287
11.717306988991279,169.3724281638944,1034.9782812343938,231.08061337471008,49.42736841738224,32.92866085469723,157.10132956504822,82.35602927207947
24.19094234789136,243.6429494463743,1323.7343528740055,210.39152824878693,39.71593111753464,24.145387887954712,156.10312354564667,63.86131900548935
23.160950393078764,474.9304348710119,2621.0155860693326,216.26777958869934,42.17614226043224,26.717471465468407,156.3697772026062,68.89361372590065
42.333797525158886,1314.343955984555,5650.906068217954,226.23184430599213,44.342212453484535,29.396007612347603,157.59112095832825,73.73822006583214
38.107901649869554,160.41798483560106,2374.222382948918,226.68357264995575,47.47874101996422,31.14270655065775,156.78895020484924,78.62144757062197
17.587797239164413,121.2526941866243,880.8218097036269,215.86603140830994,41.66957798600197,26.506769999861717,156.39206182956696,68.17634798586369
22.577578812319185,174.94822260639853,1440.560422364107,231.82376432418823,49.71671865880489,33.081816770136356,157.2412062883377,82.79853542894125
20.09067815358573,202.9169262437895,2078.5519370081856,232.4918693304062,47.32537207007408,32.97207557410002,157.74095714092255,80.2974476441741
54.383125500174714,271.6789820453576,4942.007168752065,249.04190611839294,55.408862233161926,39.42843510955572,158.78023481369019,94.83729734271765
37.42296037355309,401.6503691987459,2710.804606883393,235.8733252286911,46.86998538672924,33.64561273902655,158.33968377113342,80.51559812575579
13.955025801923549,185.77086975595114,1358.2916917911944,214.6863261461258,41.56891477108002,26.011158384382725,156.26063787937164,67.58007315546274
33.48633209746714,496.32415781011395,4032.8279215202824,246.91414666175842,60.595331966876984,40.06588553637266,157.45367205142975,100.66121750324965
62.26228383310645,793.234507433482,9127.9768572609,266.3881117105484,62.97608254849911,45.13190931081772,159.97968566417694,108.10799185931683
42.62309570242234,213.28917129162352,2627.2182555013055,242.04818677902222,51.115647062659264,36.23682688176632,158.60116517543793,87.35247394442558
36.13252965937353,183.18847995255058,2479.84750800539,225.72256803512573,48.88290436565876,30.806320309638977,156.82269489765167,79.68922467529774
32.26946524416979,488.88039746907066,2931.736774390767,242.4960252046585,53.35716998577118,36.98193869739771,158.18346524238586,90.33910868316889
32.71631263294174,394.57602343591066,3370.1266283113027,222.68127059936523,47.00535137951374,29.62855926156044,156.4894425868988,76.63391064107418
45.15546080928067,478.774221678031,4817.176535266729,240.41183626651764,56.91189098358154,37.119835183024406,157.3757529258728,94.03172616660595
53.9424086228946,813.0616017620848,5038.432512945202,242.71860587596893,55.75973902642727,37.266808077692986,158.01084637641907,93.02654710412025
32.11554660732665,549.379009914861,4059.363147613639,240.44546806812286,52.32976880669594,34.61743853986263,158.0322540998459,86.94720734655857
28.864210465849382,263.8889078976716,1813.0465868058893,245.45901215076447,59.614906057715416,39.42311705648899,157.4398283958435,99.0380231142044
95.01337239990116,1327.3792276992313,14115.886411169373,284.1067131757736,69.96367982029915,50.89965344965458,160.77381348609924,120.86333326995373
40.559717503944626,803.0050383130207,4153.371479310892,252.1568785905838,61.53862616419792,42.15789970755577,157.8888280391693,103.69652587175369
49.117007875476396,377.0140055794127,3779.247909623687,276.9935895204544,71.72090882062912,50.41053871810436,159.98705577850342,122.13144753873348
53.39527614742698,205.77420395630068,4078.720533158074,245.6639586687088,54.905140444636345,37.98766113072634,158.63132894039154,92.89280157536268
42.03336483227262,586.6419154362801,3456.574312950285,220.6825374364853,44.28463105857372,28.369941420853138,156.73479747772217,72.65457247942686
41.237836831757186,822.0491925834225,7007.930257310693,235.92107605934143,49.830814972519875,33.39203928411007,157.94776892662048,83.22285425662994
50.81658757025295,477.6617978635214,6291.491530547217,230.63941729068756,48.63587449491024,31.671569794416428,157.41880130767822,80.30744428932667
80.45234061349166,1270.5373942996296,11102.14295050822,272.32908976078033,71.81398397684097,49.61572344601154,159.24882674217224,121.42970742285252
63.472207431174084,686.8004050458352,6325.337496470518,235.81816041469574,52.394858717918396,33.41377930343151,157.64699494838715,85.8086380213499
147.8585120409022,2168.243304041519,26671.001375305146,318.1534699201584,70.42947518825531,55.15607140958309,166.06195259094238,125.5855465978384
47.45800197481339,346.40818830260173,6266.670567476207,287.90647089481354,59.81275388598442,46.77523083984852,163.99810755252838,106.58798472583294
43.1230484935705,311.752989207196,2283.940420762213,217.54723703861237,43.57382880151272,27.30964285135269,156.33837735652924,70.88347165286541
57.8694881275824,732.0995999801459,6196.278010321271,273.89379143714905,67.96322599053383,49.95957192033529,160.03988456726074,117.92279791086912
124.7469632111914,1739.6105317921347,20285.664480028507,265.54956328868866,58.84046672284603,40.86790078133345,160.38957929611206,99.70836750417948
36.21690116158886,377.2341025927787,730.1599256638782,233.32417738437653,49.893478721380234,33.3089659884572,157.6583890914917,83.20244470983744
63.6769691205402,339.6659854070359,7752.587517705802,267.03532242774963,65.5117457807064,46.70996195822954,159.89291989803314,112.22170773893595
66.1062370213669,350.22803194770023,4245.8415736844345,302.5935401916504,59.47754031419754,46.56137013435364,165.150661110878,106.03891044855118
46.361051279313244,492.0441127476071,5390.646497869168,231.99784409999847,48.59845449030399,32.39468479901552,157.76149809360504,80.99313928931952
55.26264527898409,226.3800326106789,3833.384383594159,280.5500431060791,60.8723111897707,47.036517307162285,162.720010638237,107.90882849693298
36.63241336931753,441.7931035118665,3653.373671461371,233.02717053890228,48.59024354815483,33.20229288190603,157.70408952236176,81.79253643006086
51.12355807713534,1056.0829698267037,7479.623824131332,253.75894117355347,59.30159015953541,41.18276396393776,158.84185004234314,100.48435412347317
15.718364635769786,655.3344043771527,1879.8463134464696,228.14116096496582,48.83769291639328,31.90480548143387,156.8047776222229,80.74249839782715
98.73366364790358,1740.809918794662,9983.637399353069,300.55011916160583,72.17177513241768,53.78439626097679,163.05791306495667,125.95617139339447
77.9639309840321,1245.3103271035413,9990.365520224444,272.0656507015228,56.52457010746002,43.702042661607265,162.2743936777115,100.22661276906729
75.55932606562179,1149.3954316394688,10595.547219845697,313.9271614551544,77.05561903119087,62.44744963943958,164.47455596923828,139.50306867063046
45.701836025410465,1393.722263872546,6099.7834662851565,288.6173733472824,52.067359551787376,41.79918496310711,165.1527762413025,93.86654451489449
49.36094744449538,655.7658539112963,6244.390593530265,251.62840473651886,59.50267358124256,40.83257496356964,158.57547461986542,100.3352485448122
39.14000259940521,907.8428163199621,2580.9793174760994,274.5695412158966,68.55590106546879,50.173232935369015,160.06083571910858,118.7291340008378
100.66748470017008,768.6900577223129,9695.083039505822,336.88774371147156,68.89261370897293,59.10872520506382,170.06538021564484,128.00133891403675
