,dof3_EL_IGL,dof3_EH_IGH,dof3_EH_IGL,dof3_EM_IGL,dof3_EM_IGM,dof3_EM_IGH,dof3_EL_IGH,dof3_EL_IGM,dof3_EH_IGM
ig,144.8164781332016,170.62121042609215,143.69817309081554,144.14182444661856,156.77775505185127,171.6546350121498,169.98103114962578,154.9063077569008,157.37343882396817
energy,750.2880044047747,3753.400151713168,3748.2336093566355,2267.9356618889447,2267.394405453653,2401.3816964671487,747.517474382259,798.5500777556854,3771.198668364075
vfe,391.9543285369873,594.0972626209259,561.2485067844391,572.1301295757294,570.5180866718292,577.6414499282837,535.4865484237671,539.132684469223,620.6435241699219
jerk,4287.889695134519,22782.928797253357,34679.21797487843,34326.089199491245,16386.87679250499,28648.74242602284,13466.12918711103,19096.827245933087,25184.045990595747
torque_change,709173.4827818748,17714450.28707269,7070908.574088878,3940729.710676657,4889614.66328613,16477405.500048276,536139.9786942085,3812871.7530737184,28606899.906221516
kld,79.43589550256729,85.19009190797806,72.44556826353073,72.34815344959497,78.7381973862648,86.66879913210869,87.12008112668991,78.9254742860794,78.57155479863286
bs,65.38058263063431,85.43111851811409,71.25260482728481,71.79367099702358,78.03955766558647,84.98583588004112,82.86095002293587,75.98083347082138,78.80188402533531
un,173.05487394332886,194.61915683746338,191.94981777668,192.57266867160797,192.76146984100342,192.49994802474976,188.647895693779,188.78607070446014,196.19396805763245
vfe_var,0.36220143619025097,0.8781184964278856,0.4687132238703804,1.813199123904252,0.2512985292741976,0.43444547332510375,0.4498638155294432,0.39364601357493767,0.7666290934701641
